doc_id,title,source_org,url,file_type,version_label,notes
hec-plagiarism-policy-old,HEC Plagiarism Policy (Earlier Version),HEC,https://www.hec.gov.pk/english/services/faculty/Plagiarism/Documents/Plagiarism-Policy-Old.pdf,pdf,legacy,Superseded plagiarism policy
hec-turnitin-sops,HEC Turnitin Standard Operating Procedures,HEC,https://www.hec.gov.pk/english/services/faculty/Plagiarism/Documents/Turnitin-SoPs.pdf,pdf,current,Turnitin usage SOPs
hec-turnitin-guidelines,HEC Guidelines on Turnitin,HEC,https://www.hec.gov.pk/english/services/faculty/Documents/Plagiarism/Guidelines%20on%20Turnitin.pdf,pdf,current,Similarity index interpretation
hec-little-book-of-plagiarism,HEC Little Book of Plagiarism,HEC,https://www.hec.gov.pk/english/services/faculty/Documents/Plagiarism/Little%20Book%20of%20Plagiarism.pdf,pdf,current,Student-facing plagiarism primer
hec-plagiarism-case-sops,HEC Time-Bound SOPs for Plagiarism Cases,HEC,https://www.hec.gov.pk/english/services/faculty/Documents/Plagiarism/Time%20bound%20SOPs%20for%20Plagiarism%20Cases.pdf,pdf,current,Case handling timelines
hec-plagiarism-case-handling,How HEC Deals with Plagiarism Cases,HEC,https://www.hec.gov.pk/english/services/faculty/Documents/Plagiarism/How%20does%20HEC%20deals%20with%20Plagiarism%20Cases.pdf,pdf,current,Plagiarism case workflow
hec-undergraduate-education-policy,HEC Undergraduate Education Policy,HEC,https://www.hec.gov.pk/english/services/students/UEP/Documents/UGE-Policy.pdf,pdf,current,"UG degree structure, credit hours, CGPA rules"
hec-graduate-education-policy,HEC Graduate Education Policy,HEC,https://www.hec.gov.pk/english/services/faculty/Plagiarism/Documents/Graduate-Education-Policy.pdf,pdf,current,MS/MPhil/PhD structure and requirements
hec-mphil-phd-criteria,HEC MPhil/PhD Admission & Degree Criteria,HEC,https://www.hec.gov.pk/english/scholarshipsgrants/Documents/MPHIL_Phd_Criteria.pdf,pdf,current,Graduate admission/degree criteria
hec-final-exam-policy-guidelines,HEC Final Examination Policy Guidelines,HEC,https://www.hec.gov.pk/english/services/universities/Documents/Final%20Examination%20Policy%20Guidelines.pdf,pdf,current,Examination conduct guidelines
hec-odl-policy,HEC Open & Distance Learning Policy,HEC,https://www.hec.gov.pk/english/policies/Documents/ODL-Policy-Circulated.pdf,pdf,current,ODL program rules
hec-odl-toolkit,HEC Open & Distance Learning Toolkit,HEC,https://www.hec.gov.pk/english/policies/Documents/ODL-Toolkit.pdf,pdf,current,ODL implementation toolkit
hec-institutional-policy,HEC Institutional Policy,HEC,https://www.hec.gov.pk/english/universities/Documents/HEC-INSTITUTIONAL-POLICY.pdf,pdf,current,Institution-level governance policy
hec-foreign-collaboration-policy,HEC Foreign Collaboration Policy,HEC,https://www.hec.gov.pk/english/services/universities/Documents/HEC-Foreign-Collaboratin-Policy.pdf,pdf,current,Rules for foreign degree collaborations
hec-qec-assessment-criteria,HEC Revised Criteria for Assessment of QECs,HEC,https://www.hec.gov.pk/english/services/universities/QAA/Documents/QAA/1-Revised%20Criteria%20for%20Assessment%20of%20QECs.pdf,pdf,current,Quality Enhancement Cell assessment
hec-national-fee-refund-policy,HEC National Fee Refund Policy,HEC,https://www.hec.gov.pk/english/policies/Documents/National%20Fee%20Refund%20Policy.pdf,pdf,current,Fee refund schedule on withdrawal
hec-refund-policy,HEC Refund Policy,HEC,https://www.hec.gov.pk/english/policies/Documents/Refund-Policy.pdf,pdf,current,Refund rules
hec-harassment-policy,HEC Harassment Policy,HEC,https://www.hec.gov.pk/english/services/Documents/HARASSMENT-POLICY.pdf,pdf,current,Anti-harassment policy for HEIs
hec-disability-policy,HEC Policy for Students with Disabilities at HEIs,HEC,https://www.hec.gov.pk/english/services/universities/Documents/HEC%20-%20POLICY%20FOR%20STUDENTS%20WITH%20DISABILITIES%20AT%20HEIs%20IN%20PAKISTAN.pdf,pdf,current,Accommodation and access policy
hec-drugs-tobacco-policy,HEC Policy on Drugs and Tobacco Control at HEIs,HEC,https://www.hec.gov.pk/english/Documents/Policy%20on%20drugs%20and%20tobacco%20control%20at%20HEIs.pdf,pdf,current,Substance control policy
hec-campus-security-policy,HEC Campus Security and Surveillance Policy,HEC,https://www.hec.gov.pk/english/policies/Documents/Campus-Security-surveillance-policy.pdf,pdf,current,Campus safety requirements
hec-ddjdp-policy,HEC Policy on Dual Degrees and Joint Degree Programs,HEC,https://www.hec.gov.pk/english/policies/Documents/DDJDP.pdf,pdf,current,Dual/joint degree rules
hec-grievance-policy,HEC Ethical Appeal Review Board / Grievance Redressal Committee Policy,HEC,https://www.hec.gov.pk/english/policies/Documents/Ethical%20Appeal%20Review%20Board_Grievance%20Redressal%20Committee_Policy.pdf,pdf,current,Student/faculty grievance redressal
hec-visiting-faculty-guidelines,HEC Guidelines for Engagement of Visiting Faculty in HEIs,HEC,https://www.hec.gov.pk/english/policies/Documents/Guidelines%20for%20Engagement%20of%20Visiting%20Faculty%20in%20Higher%20Education%20Institutions.pdf,pdf,current,Visiting faculty engagement rules
hec-professor-of-practice-policy,HEC Policy on Appointment of Professor of Practice,HEC,https://www.hec.gov.pk/english/policies/Documents/Appointment-Prof-Practice.pdf,pdf,current,Professor of practice appointments
hec-orics-policy,HEC ORICs Policy,HEC,https://www.hec.gov.pk/english/policies/Documents/ORICs_Policy.pdf,pdf,current,"Office of Research, Innovation & Commercialization"
hec-asip-policy,HEC Access to Scientific Instrumentation Program Policy,HEC,https://www.hec.gov.pk/english/policies/Documents/ASIP-Policy.pdf,pdf,current,Shared instrumentation access
hec-ipfp-policy,HEC Interim Placement of Fresh PhDs Policy,HEC,https://www.hec.gov.pk/english/NAHE/IPFP/Documents/IPFP-Policy.pdf,pdf,current,Fresh PhD placement program
